case_group,method,case_count,aggregation,median_95_volume_m3,coverage_50,coverage_90,coverage_95,coverage_99
natural,independence_average,4,equal-case descriptive mean,9833.545190177632,0.43960849852399947,0.6651701326363768,0.7005351214997729,0.7514730029073058
natural,marginal_average,4,equal-case descriptive mean,19090.881398275524,0.5601728290523535,0.7404945051527846,0.7703852513774283,0.8153788447168676
natural,proposed_envelope,4,equal-case descriptive mean,40314.32642220337,0.7049335666388264,0.8226466159756495,0.8409304663824385,0.8690568116901418
natural,same_subset_ci,4,equal-case descriptive mean,8415.597067090941,0.3006349868115967,0.49451532488050426,0.5375991987269391,0.6098223281977768
natural,same_subset_cu,4,equal-case descriptive mean,37577.941926227875,0.6963462182272261,0.8205157016654739,0.8397501224144684,0.8682289971206054
natural,selected_member_marginal,4,equal-case descriptive mean,12547.742226031063,0.4679957373020753,0.6160758839802222,0.6494645296647473,0.6994329366106847
controlled_fault,independence_average,7,equal-case descriptive mean,6699.473511111445,0.5321931589537223,0.7655935613682093,0.8148893360160966,0.8400402414486922
controlled_fault,marginal_average,7,equal-case descriptive mean,18948.97260034621,0.7173038229376258,0.8440643863179075,0.8611670020120724,0.880281690140845
controlled_fault,proposed_envelope,7,equal-case descriptive mean,50828.60749224866,0.8812877263581489,0.937625754527163,0.9517102615694164,0.9617706237424547
controlled_fault,same_subset_ci,7,equal-case descriptive mean,2142.3074618088685,0.32193158953722334,0.506036217303823,0.5281690140845071,0.619718309859155
controlled_fault,same_subset_cu,7,equal-case descriptive mean,48126.26464722997,0.8742454728370221,0.93158953722334,0.9476861167002012,0.9587525150905433
controlled_fault,selected_member_marginal,7,equal-case descriptive mean,6716.808911239844,0.5699195171026157,0.6775653923541247,0.6911468812877263,0.7505030181086518
