case,case_group,method,sample_count,q_median,q_p95,median_95_volume_m3,coverage_50,coverage_90,coverage_95,coverage_99
hk,natural,proposed_envelope,142,0.296865997062972,1.4024112826343227,39119.5046123841,1.0,1.0,1.0,1.0
hk,natural,same_subset_cu,142,0.2533466172947319,1.4259839226609947,38762.90832495491,1.0,1.0,1.0,1.0
hk,natural,same_subset_ci,142,4.3445460908861975,24.248828146951443,1887.666817753535,0.323943661971831,0.5915492957746479,0.6267605633802817,0.7394366197183099
hk,natural,independence_average,142,1.1548676845561876,4.974569020375918,5573.84388319347,0.676056338028169,0.9788732394366197,1.0,1.0
hk,natural,marginal_average,142,0.5774338422780938,2.487284510187959,15765.21122832505,0.9154929577464789,1.0,1.0,1.0
hk,natural,selected_member_marginal,284,0.9949947418879295,16.960851789189796,4633.986298611731,0.6619718309859155,0.795774647887324,0.8133802816901409,0.8697183098591549
deep,natural,proposed_envelope,664,0.5569638780980797,2.831858777472383,25784.195294357112,0.9322289156626506,0.9759036144578314,0.9804216867469879,0.9849397590361446
deep,natural,same_subset_cu,664,0.6056610555914859,3.0518576381467,23054.405871045965,0.9292168674698795,0.9759036144578314,0.9804216867469879,0.9849397590361446
deep,natural,same_subset_ci,664,3.154524951445424,39.27970311941265,3352.049984460097,0.44728915662650603,0.6295180722891566,0.6837349397590361,0.75
deep,natural,independence_average,664,1.7799887232714915,12.595625532944137,4283.294112388078,0.6144578313253012,0.8298192771084337,0.8629518072289156,0.9292168674698795
deep,natural,marginal_average,664,1.0918650254604376,7.3268507052226886,11123.759810890662,0.7590361445783133,0.9367469879518072,0.9548192771084337,0.9759036144578314
deep,natural,selected_member_marginal,1119,1.2218007235604913,28.77449584693186,5761.955675860243,0.6523681858802503,0.7783735478105451,0.8105451295799821,0.8507596067917784
harsh,natural,proposed_envelope,526,1.0768339409829246,9.54390099003638,45570.57006495847,0.7186311787072244,0.9239543726235742,0.9296577946768061,0.9581749049429658
