route_cluster,tested_case_count,proposed_mean_rmse_m,all_receiver_mean_rmse_m
medium_route,8,13.960833605383618,16.76186800548564
deep_route,1,9.95532733927351,11.161616032718104
harsh_shared_route,2,20.872341082503432,28.033656678473925
equal_route_cluster_mean,11,14.929500675720186,18.652380238892558
