case_group,subset_kind,method,contributing_case_count,sample_count,aggregation,median_95_volume_m3,coverage_50,coverage_90,coverage_95,coverage_99
natural,pair,independence_average,4,1068,equal-contributing-case descriptive mean,8111.7764904575815,0.3716227994914798,0.5953692658395907,0.6306457473162677,0.6962946071269771
natural,pair,marginal_average,4,1068,equal-contributing-case descriptive mean,22943.56865548869,0.5282407678619516,0.7166272629104999,0.7450755256304389,0.801633932541447
natural,pair,proposed_envelope,4,1068,equal-contributing-case descriptive mean,86720.45105698815,0.7547046306294861,0.8631673124563298,0.8778843930635838,0.9112774566473989
natural,pair,same_subset_ci,4,1068,equal-contributing-case descriptive mean,6436.488708340483,0.20943220908376003,0.386391992685325,0.43199173520446826,0.5138616322210722
natural,pair,same_subset_cu,4,1068,equal-contributing-case descriptive mean,72476.55759256284,0.7402126659467699,0.8584447691037286,0.8746069364161849,0.9092774566473989
natural,pair,selected_member_marginal,4,2136,equal-contributing-case descriptive mean,13810.596519799532,0.44431954734185464,0.5798604186255819,0.6135504632955582,0.6658179405467933
natural,singleton,independence_average,3,566,equal-contributing-case descriptive mean,19166.71099620833,0.5382506299990689,0.7037287835236096,0.7314006854149584,0.7624879481703745
natural,singleton,marginal_average,3,566,equal-contributing-case descriptive mean,19166.71099620833,0.5382506299990689,0.7037287835236096,0.7314006854149584,0.7624879481703745
natural,singleton,proposed_envelope,3,566,equal-contributing-case descriptive mean,19166.71099620833,0.5382506299990689,0.7037287835236096,0.7314006854149584,0.7624879481703745
natural,singleton,same_subset_ci,3,566,equal-contributing-case descriptive mean,19166.71099620833,0.5382506299990689,0.7037287835236096,0.7314006854149584,0.7624879481703745
natural,singleton,same_subset_cu,3,566,equal-contributing-case descriptive mean,19166.71099620833,0.5382506299990689,0.7037287835236096,0.7314006854149584,0.7624879481703745
natural,singleton,selected_member_marginal,3,566,equal-contributing-case descriptive mean,19166.71099620833,0.5382506299990689,0.7037287835236096,0.7314006854149584,0.7624879481703745
controlled_fault,pair,independence_average,7,994,equal-contributing-case descriptive mean,6699.473511111445,0.5321931589537223,0.7655935613682093,0.8148893360160966,0.8400402414486922
controlled_fault,pair,marginal_average,7,994,equal-contributing-case descriptive mean,18948.97260034621,0.7173038229376258,0.8440643863179075,0.8611670020120724,0.880281690140845
controlled_fault,pair,proposed_envelope,7,994,equal-contributing-case descriptive mean,50828.60749224866,0.8812877263581489,0.937625754527163,0.9517102615694164,0.9617706237424547
controlled_fault,pair,same_subset_ci,7,994,equal-contributing-case descriptive mean,2142.3074618088685,0.32193158953722334,0.506036217303823,0.5281690140845071,0.619718309859155
controlled_fault,pair,same_subset_cu,7,994,equal-contributing-case descriptive mean,48126.26464722997,0.8742454728370221,0.93158953722334,0.9476861167002012,0.9587525150905433
controlled_fault,pair,selected_member_marginal,7,1988,equal-contributing-case descriptive mean,6716.808911239844,0.5699195171026157,0.6775653923541247,0.6911468812877263,0.7505030181086518
