held_out_panel,selected_configuration,training_mean_candidate_over_all_cauchy,held_out_candidate_rmse_m,held_out_all_cauchy_rmse_m,held_out_relative_improvement_percent
hk,margin2.0_window30,0.7667722266918022,12.00655529980053,15.46230323737248,22.349503075449885
deep,margin2.0_window30,0.7282987947299396,9.95532733927351,11.161616032718104,10.807473486891096
harsh,margin2.0_window30,0.8274368600928287,10.535220268385867,17.72081432454224,40.548893095757826
phone,margin2.0_window30,0.7543137678063373,31.209461896620997,38.34649903240561,18.611965409810406
