method,rmse_3d_m,rmse_xy_m,rmse_z_m,median_3d_m,p95_3d_m,maximum_3d_m
source_quotient_with_replay,6.0538331145387,2.3937850078663403,5.560457599406696,2.036498727912403,15.827313831535442,17.458678457239238
three_stream_naive,7.713293044979478,2.6569084117433563,7.241251776408287,2.7028203449915065,19.298761432515715,21.081387541149248
two_physical_sources_without_replay,6.053833114531875,2.39378500786621,5.560457599399322,2.036498727912398,15.82731383151294,17.458678457219765
