method,rmse_3d_m,rmse_xy_m,rmse_z_m,median_3d_m,p95_3d_m,maximum_3d_m
source_quotient_with_replay,8.018547436674053,7.014074399323803,3.8858542580676456,8.2367241677673,10.790211883352688,13.855508963439796
three_stream_naive,11.657482069322446,5.764752951564139,10.13234975728764,9.981804912133137,18.103692430643356,18.568346068046974
two_physical_sources_without_replay,8.01854743667407,7.01407439932382,3.885854258067646,8.236724167767315,10.790211883352667,13.855508963439783
